frame_number	 sync_in1	 sync_in2	 time_stamp
1	 0	 1	 0.0159940719604
2	 0	 1	 0.0325660705566
3	 0	 1	 0.049243927002
4	 0	 1	 0.0661950111389
5	 0	 1	 0.0826959609985
6	 0	 1	 0.0992569923401
7	 0	 1	 0.115871906281
8	 0	 1	 0.132543087006
9	 0	 1	 0.149225950241
10	 0	 1	 0.165894031525
11	 0	 1	 0.182549953461
12	 0	 1	 0.199213981628
13	 0	 1	 0.215893030167
14	 0	 1	 0.232560873032
15	 0	 1	 0.249225854874
16	 0	 1	 0.265888929367
17	 0	 1	 0.28257393837
18	 0	 1	 0.299239873886
19	 0	 1	 0.315897941589
20	 0	 1	 0.332558870316
21	 0	 1	 0.34924697876
22	 0	 1	 0.365910053253
23	 0	 1	 0.382580041885
24	 0	 1	 0.39924287796
25	 0	 1	 0.415920972824
26	 0	 1	 0.432579994202
27	 0	 1	 0.449246883392
28	 0	 1	 0.46591591835
29	 0	 1	 0.482584953308
30	 0	 1	 0.499260902405
31	 0	 1	 0.516063928604
32	 0	 1	 0.532656908035
33	 0	 1	 0.549274921417
34	 0	 1	 0.565936088562
35	 0	 1	 0.582598924637
36	 0	 1	 0.59926199913
37	 0	 1	 0.615926027298
38	 0	 1	 0.632616996765
39	 0	 1	 0.649277925491
40	 0	 1	 0.665936946869
41	 0	 1	 0.682600021362
42	 0	 1	 0.699280023575
43	 0	 1	 0.71594786644
44	 0	 1	 0.732617855072
45	 0	 1	 0.749273061752
46	 0	 1	 0.766042947769
47	 0	 1	 0.782660007477
48	 0	 1	 0.799355983734
49	 0	 1	 0.816008090973
50	 0	 1	 0.832701921463
51	 0	 1	 0.849356889725
52	 0	 1	 0.866106987
53	 0	 1	 0.882719993591
54	 0	 1	 0.899374961853
55	 0	 1	 0.916028022766
56	 0	 1	 0.932698965073
57	 0	 1	 0.94936299324
58	 0	 1	 0.966125965118
59	 0	 1	 0.982738018036
60	 0	 1	 0.999372959137
61	 0	 1	 1.0160279274
62	 0	 1	 1.03270292282
63	 0	 1	 1.0493850708
64	 0	 1	 1.06612491608
65	 0	 1	 1.08274197578
66	 0	 1	 1.09937500954
67	 0	 1	 1.11605787277
68	 0	 1	 1.13272190094
69	 0	 1	 1.14938592911
70	 0	 1	 1.16604685783
71	 0	 1	 1.18273591995
72	 0	 1	 1.19940185547
73	 0	 1	 1.2161450386
74	 0	 1	 1.23275709152
75	 0	 1	 1.24941706657
76	 0	 1	 1.26606607437
77	 0	 1	 1.28273200989
78	 0	 1	 1.29939389229
79	 0	 1	 1.31616306305
