frame_number	 sync_in1	 sync_in2	 time_stamp
1	 0	 1	 0.0159850120544
2	 0	 1	 0.0325510501862
3	 0	 1	 0.0492072105408
4	 0	 1	 0.0658721923828
5	 0	 1	 0.0825510025024
6	 0	 1	 0.0992140769958
7	 0	 1	 0.115880012512
8	 0	 1	 0.13253903389
9	 0	 1	 0.149204015732
10	 0	 1	 0.166149139404
11	 0	 1	 0.182702064514
12	 0	 1	 0.199256181717
13	 0	 1	 0.215874195099
14	 0	 1	 0.232534170151
15	 0	 1	 0.249198198318
16	 0	 1	 0.265864133835
17	 0	 1	 0.282534122467
18	 0	 1	 0.299205064774
19	 0	 1	 0.316028118134
20	 0	 1	 0.332601070404
21	 0	 1	 0.349215984344
22	 0	 1	 0.365886211395
23	 0	 1	 0.382538080215
24	 0	 1	 0.399205207825
25	 0	 1	 0.41587805748
26	 0	 1	 0.432558059692
27	 0	 1	 0.449220180511
28	 0	 1	 0.466000080109
29	 0	 1	 0.48258805275
30	 0	 1	 0.499245166779
31	 0	 1	 0.515938043594
32	 0	 1	 0.532591104507
33	 0	 1	 0.549252986908
34	 0	 1	 0.565932035446
35	 0	 1	 0.582597017288
36	 0	 1	 0.59926199913
37	 0	 1	 0.616037130356
38	 0	 1	 0.632646083832
39	 0	 1	 0.649282217026
40	 0	 1	 0.665933132172
41	 0	 1	 0.682604074478
42	 0	 1	 0.699266195297
43	 0	 1	 0.715950012207
44	 0	 1	 0.732617139816
45	 0	 1	 0.749276161194
46	 0	 1	 0.766107082367
47	 0	 1	 0.782693147659
48	 0	 1	 0.799310207367
49	 0	 1	 0.815929174423
50	 0	 1	 0.832617998123
51	 0	 1	 0.849300146103
52	 0	 1	 0.865960121155
53	 0	 1	 0.882624149323
54	 0	 1	 0.899302005768
55	 0	 1	 0.915990114212
56	 0	 1	 0.93265414238
57	 0	 1	 0.949313163757
58	 0	 1	 0.965975999832
59	 0	 1	 0.982660055161
60	 0	 1	 0.999334096909
61	 0	 1	 1.01599311829
62	 0	 1	 1.03266215324
63	 0	 1	 1.04933619499
64	 0	 1	 1.06599998474
65	 0	 1	 1.08267617226
66	 0	 1	 1.09932899475
67	 0	 1	 1.11601018906
68	 0	 1	 1.1326751709
69	 0	 1	 1.14933919907
70	 0	 1	 1.1660091877
71	 0	 1	 1.1826851368
72	 0	 1	 1.19934606552
73	 0	 1	 1.21601104736
74	 0	 1	 1.23268508911
75	 0	 1	 1.24934911728
76	 0	 1	 1.26602816582
77	 0	 1	 1.28269314766
78	 0	 1	 1.29935216904
79	 0	 1	 1.31616902351
80	 0	 1	 1.33276104927
81	 0	 1	 1.34938311577
82	 0	 1	 1.36603403091
83	 0	 1	 1.38269305229
84	 0	 1	 1.39937710762
85	 0	 1	 1.41604208946
86	 0	 1	 1.43270611763
87	 0	 1	 1.44936919212
88	 0	 1	 1.46616411209
89	 0	 1	 1.48277711868
90	 0	 1	 1.49939417839
91	 0	 1	 1.51604104042
92	 0	 1	 1.53272509575
93	 0	 1	 1.54938316345
94	 0	 1	 1.56605315208
95	 0	 1	 1.58272004128
96	 0	 1	 1.59939718246
97	 0	 1	 1.61606216431
98	 0	 1	 1.63272714615
99	 0	 1	 1.64939308167
100	 0	 1	 1.66621398926
101	 0	 1	 1.68277812004
102	 0	 1	 1.69936800003
103	 0	 1	 1.71599912643
104	 0	 1	 1.73271012306
105	 0	 1	 1.74937415123
106	 0	 1	 1.76618409157
107	 0	 1	 1.78272604942
108	 0	 1	 1.79937505722
109	 0	 1	 1.81601715088
110	 0	 1	 1.83270907402
111	 0	 1	 1.84937500954
112	 0	 1	 1.86605620384
113	 0	 1	 1.8827290535
114	 0	 1	 1.89944314957
115	 0	 1	 1.91610908508
116	 0	 1	 1.93278717995
117	 0	 1	 1.94946217537
118	 0	 1	 1.96611905098
119	 0	 1	 1.9827811718
120	 0	 1	 1.99945020676
121	 0	 1	 2.01618099213
122	 0	 1	 2.03277802467
123	 0	 1	 2.04942512512
124	 0	 1	 2.0660970211
125	 0	 1	 2.08277702332
126	 0	 1	 2.09943699837
127	 0	 1	 2.1161031723
128	 0	 1	 2.13277602196
129	 0	 1	 2.14945316315
130	 0	 1	 2.16611409187
131	 0	 1	 2.18277907372
