frame_number	 sync_in1	 sync_in2	 time_stamp
1	 0	 1	 0.0163681507111
2	 0	 1	 0.0327460765839
3	 0	 1	 0.0492839813232
4	 0	 1	 0.0659921169281
5	 0	 1	 0.0825970172882
6	 0	 1	 0.0992970466614
7	 0	 1	 0.11600112915
8	 0	 1	 0.132588148117
9	 0	 1	 0.149271965027
10	 0	 1	 0.16596198082
11	 0	 1	 0.182629108429
12	 0	 1	 0.199293136597
13	 0	 1	 0.215970039368
14	 0	 1	 0.23264503479
15	 0	 1	 0.249331951141
16	 0	 1	 0.265990018845
17	 0	 1	 0.282653093338
18	 0	 1	 0.299360990524
19	 0	 1	 0.317331075668
20	 0	 1	 0.332617044449
21	 0	 1	 0.349281072617
22	 0	 1	 0.367506027222
23	 0	 1	 0.38262796402
24	 0	 1	 0.399557113647
25	 0	 1	 0.416071176529
26	 0	 1	 0.432684183121
27	 0	 1	 0.449295043945
28	 0	 1	 0.465970039368
29	 0	 1	 0.482611179352
30	 0	 1	 0.499264001846
31	 0	 1	 0.515906095505
32	 0	 1	 0.532632112503
33	 0	 1	 0.549285173416
34	 0	 1	 0.565953016281
35	 0	 1	 0.582601070404
36	 0	 1	 0.599321126938
37	 0	 1	 0.615970134735
38	 0	 1	 0.632614135742
39	 0	 1	 0.64932012558
40	 0	 1	 0.666203022003
41	 0	 1	 0.682957172394
42	 0	 1	 0.699366092682
43	 0	 1	 0.715994119644
44	 0	 1	 0.732679128647
45	 0	 1	 0.749320030212
46	 0	 1	 0.766208171844
47	 0	 1	 0.783004999161
48	 0	 1	 0.799379110336
49	 0	 1	 0.815965175629
50	 0	 1	 0.83261013031
51	 0	 1	 0.849327087402
52	 0	 1	 0.865970134735
53	 0	 1	 0.882658004761
54	 0	 1	 0.899355173111
55	 0	 1	 0.915990114212
56	 0	 1	 0.932631015778
57	 0	 1	 0.949280023575
58	 0	 1	 0.965917110443
59	 0	 1	 0.982599020004
60	 0	 1	 0.999288082123
61	 0	 1	 1.01596307755
62	 0	 1	 1.03260397911
63	 0	 1	 1.04928803444
64	 0	 1	 1.06595301628
65	 0	 1	 1.08261013031
66	 0	 1	 1.09929513931
67	 0	 1	 1.1159491539
68	 0	 1	 1.13260912895
69	 0	 1	 1.14927005768
70	 0	 1	 1.16593599319
71	 0	 1	 1.1826210022
72	 0	 1	 1.19930100441
